subid,date,birthdate,agegroup.x,exactage.x,gender,condition,exp,counterbalance,benny_tricky,sammy_helpful,tt1,tt2,tt3,tt4,tt5,tt6,total_trust,benny_fq,sammy_fq,benny_good,sammy_good,play_again,why_playagain,training1,training2,training3,trainingtotal,coder1.x,coder2.x,notes,age_group,ppvt_theta,ppvt_se,ppvt_un_corr_ss,ppvt_age_corr,flanker_rs,flanker_computed_score,flanker_un_corr_ss,flanker_age_corr_ss,dccs_rs,dccs_computed_score,dccs_uncorr_ss,dccs_age_corrected,date_csus,childgender,child_dob,agegroup.y,exactage.y,parentgender,numsibs,ageofsib1,ageofsib2,ageofsib3,ageofsib4,csus1,csus2,csus3,csus4,csus5,csus6,csus7,csus8,csus9,csus10,csus11,csus12,csus13,csus14,csus15,csus16,csus17,csus18,coder1.y,coder2.y
1,2017-04-24T00:00:00Z,2013-02-11T00:00:00Z,4,50,0,1,"KO, AH",0,1,1,1,1,1,1,1,1,6,1,1,1,0,1,,,0,1,1,KO,AH,,4,-3.126,0.47,67,117,38,6.1,78,122,35,4.38,71,115,2017-04-24T00:00:00Z,0,2013-02-11T00:00:00Z,4,50,0,2,6,9,,,4,4,4,2,4,4,4,3,2,3,4,3,3,2,4,3,3,3,AH,KO
2,2017-04-24T00:00:00Z,2013-12-28T00:00:00Z,3,39,1,2,"KO, AD",0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,,,,,,KO,AH,,3,-7.047,0.479,49,94,999,999,999,999,4,0.5,37,97,2017-04-24T00:00:00Z,1,2013-12-28T00:00:00Z,3,39,1,0,,,,,3,2,2,2,,1,1,3,,,2,2,3,,4,3,2,,AH,KO
3,2017-04-26T00:00:00Z,2013-10-14T00:00:00Z,3,42,0,1,"KO, AH",0,1,1,1,1,1,0,0,0,3,1,1,0,1,0,Playwithbennybecauseheistricky,0,1,0,1,KO,AH,,3,-5.277,0.454,57,103,14,1.75,34,111,2,0.25,35,90,2017-04-26T00:00:00Z,0,2013-10-14T00:00:00Z,3,42,0,1,1,,,,3,4,3,2,3,2,2,4,2,4,3,4,3,1,4,4,4,2,AH,KO
4,2017-04-26T00:00:00Z,2013-08-21T00:00:00Z,3,44,1,2,"KO, AD",0,1,1,1,0,1,0,0,0,2,0,1,1,1,1,,,,,,KO,AH,,3,-10.007,0.494,34,60,999,999,999,999,999,999,999,999,2017-04-26T00:00:00Z,1,2013-08-21T00:00:00Z,3,44,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2017-05-03T00:00:00Z,2014-03-02T00:00:00Z,3,38,1,2,KO. AH,0,1,1,0,0,0,1,1,0,2,1,1,1,0,0,,,,,,KO,AH,,3,-5.877,0.474,54,103,999,999,999,999,999,999,999,999,2017-05-03T00:00:00Z,1,2014-03-02T00:00:00Z,3,38,0,1,5,,,,3,4,4,1,2,4,4,4,2,4,4,2,4,3,4,4,3,3,AH,KO
7,2017-05-03T00:00:00Z,2013-02-24T00:00:00Z,4,50,0,1,"KO, AH",0,0,1,0,1,0,1,0,1,3,1,1,0,1,1,,0,0,0,0,KO,AH,,4,-3.562,0.483,65,117,18,2.25,39,111,35,4.67,73,115,2017-05-03T00:00:00Z,0,2013-02-24T00:00:00Z,4,50,0,1,6,,,,4,4,3,1,3,2,3,3,,3,3,3,3,2,3,3,,3,AH,KO
8,2017-05-04T00:00:00Z,2013-02-07T00:00:00Z,4,50,1,2,"KO, AH",0,1,1,1,1,0,0,0,0,2,1,1,1,1,1,Playwithsammybecauseheishelpful,,,,,KO,AH,,4,-4.335,0.459,61,106,37,4.63,63,111,7,0.88,40,97,2017-05-04T00:00:00Z,1,2013-02-07T00:00:00Z,4,50,1,1,6,,,,4,4,,2,2,,4,4,2,2,4,4,4,4,4,4,4,4,AH,KO
9,2017-05-08T00:00:00Z,2013-05-22T00:00:00Z,3,47,1,1,"KO, AD",0,1,1,1,0,1,1,1,1,5,1,1,1,0,1,,,,,,KO,AH,Video deleted,4,-4.059,0.479,63,112,33,4.13,58,121,37,4.63,73,120,2017-05-08T00:00:00Z,1,2013-05-22T00:00:00Z,3,47,0,1,7,,,,4,4,3,3,2,3,3,4,2,3,4,3,3,3,4,4,3,3,AH,KO
10,2017-05-10T00:00:00Z,2013-02-15T00:00:00Z,4,50,0,2,"KO, WM",0,1,1,1,1,1,1,1,1,6,1,1,0,1,1,Playithsammybecauseheishelpful,,,,,KO,AH,,4,-4.143,0.47,62,106,999,999,999,999,999,999,999,999,2017-05-10T00:00:00Z,0,2013-02-15T00:00:00Z,4,50,0,1,6,,,,4,4,4,1,3,2,3,3,3,4,2,3,4,3,4,4,3,3,AH,KO
12,2017-05-16T00:00:00Z,2014-02-28T00:00:00Z,3,38,1,2,"KO, AD",0,1,1,1,1,1,1,1,1,6,1,1,0,1,1,,,,,,AH,,,3,-5.12,0.462,58,103,13,1.63,32,101,5,0.63,38,97,2017-05-16T00:00:00Z,1,2014-02-28T00:00:00Z,3,38,0,1,5,,,,4,4,,2,2,1,4,,2,,3,3,3,2,3,4,,2,AH,
13,2017-05-16T00:00:00Z,2014-03-18T00:00:00Z,3,37,0,1,"KO, AH",0,1,1,1,1,0,1,1,0,4,1,0,,,0,,0,0,1,1,AH,,,3,-6.391,0.495,52,94,999,999,999,999,999,999,999,999,2017-05-16T00:00:00Z,0,2014-03-18T00:00:00Z,3,37,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2017-05-24T00:00:00Z,2013-03-01T00:00:00Z,4,50,1,2,"KO, WM",0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,,,,,,AH,,,4,-3.183,0.473,67,117,35,4.38,60,111,33,4.13,69,115,2017-05-24T00:00:00Z,1,2013-03-01T00:00:00Z,4,50,0,1,10,,,,3,4,3,2,3,3,3,3,2,2,3,4,3,3,4,4,3,3,AH,
15,2017-05-26T00:00:00Z,2013-11-08T00:00:00Z,3,42,1,1,"KO, AH",0,1,1,1,1,1,0,1,0,4,1,1,0,1,1,Nicepuppet,0,0,0,0,AH,,,3,-5.132,0.458,58,103,999,999,999,999,26,3.25,61,112,2017-05-26T00:00:00Z,1,2013-11-08T00:00:00Z,3,42,0,1,9,,,,3,3,,2,4,2,3,4,3,,4,3,3,2,4,4,3,3,AH,
16,2017-05-26T00:00:00Z,2012-07-20T00:00:00Z,4,58,1,2,"KO, AH",0,1,1,1,1,1,1,1,1,6,1,1,0,1,1,Heishelpful,,,,,AH,,,4,-1.7,0.489,74,128,17,2.13,38,99,35,4.38,71,115,2017-05-26T00:00:00Z,1,2012-07-20T00:00:00Z,4,58,0,0,,,,,4,4,4,1,3,4,4,4,,3,4,4,4,3,4,4,4,4,AH,
17,2017-05-27T00:00:00Z,2013-12-14T00:00:00Z,3,41,0,2,"KO, AD",0,1,1,1,1,1,0,0,0,3,1,1,0,1,1,Heishelpful,,,,,AH,,,3,-6.241,0.468,52,94,17,2.13,38,111,10,1.25,43,112,2017-05-27T00:00:00Z,0,2013-12-14T00:00:00Z,3,41,0,1,0.5,,,,4,4,3,1,3,3,3,4,,3,3,3,2,,4,3,3,4,AH,
18,2017-05-30T00:00:00Z,2014-05-14T00:00:00Z,3,36,1,1,"KO, AH",0,1,1,0,1,1,0,1,0,3,1,1,1,1,1,,0,1,1,2,AH,,Favorite color is green,3,-6.412,0.491,52,94,4,0.5,21,71,999,999,999,999,2017-05-30T00:00:00Z,1,2014-05-14T00:00:00Z,3,36,0,1,17,,,,1,3,3,2,1,1,3,4,2,4,3,3,4,1,4,3,1,3,AH,
19,2017-06-06T00:00:00Z,2012-08-08T00:00:00Z,4,57,1,1,"KO, AD",0,1,1,1,1,1,1,1,1,6,1,1,0,1,1,Heishelpful,0,1,1,2,AH,,,4,-2.354,0.489,71,128,40,5,67,111,29,3.63,64,106,2017-06-06T00:00:00Z,1,2012-08-08T00:00:00Z,4,57,0,4,14,9,7,5,4,4,3,1,2,3,4,3,3,3,4,3,4,2,4,4,4,4,AH,
20,2017-06-07T00:00:00Z,2013-09-20T00:00:00Z,3,44,0,2,"KO, AH",0,1,1,1,1,1,1,1,0,5,1,1,1,0,1,,,,,,AH,,,3,-3.371,0.481,66,120,14,1.75,34,111,6,0.75,39,97,2017-06-07T00:00:00Z,0,2013-09-20T00:00:00Z,3,44,0,1,7,,,,4,4,3,3,2,3,4,3,1,3,3,2,3,3,4,3,2,3,AH,
21,2017-06-07T00:00:00Z,2014-02-22T00:00:00Z,3,39,0,2,"KO, WM",0,1,1,1,1,1,1,1,1,6,1,1,1,1,1,,,,,,AH,,,3,-6.293,0.478,52,94,999,999,999,999,999,999,999,999,2017-06-07T00:00:00Z,0,2014-02-22T00:00:00Z,3,39,0,1,1,,,,4,4,3,1,3,3,4,3,3,2,4,3,4,3,4,4,3,3,AH,
22,2017-06-09T00:00:00Z,2012-05-16T00:00:00Z,4,60,0,1,"KO, AD",0,1,1,1,1,1,1,1,1,6,1,1,0,1,1,,0,1,0,1,AH,,,4,-3.915,0.462,63,97,35,4.38,60,99,40,5,76,107,2017-06-09T00:00:00Z,0,2012-05-16T00:00:00Z,5,60,0,1,7,,,,4,4,4,4,3,4,4,4,3,2,4,4,4,4,4,4,3,4,AH,
23,2017-06-09T00:00:00Z,2014-05-11T00:00:00Z,3,36,1,2,"KO, AD",0,1,1,1,0,0,1,0,1,3,1,1,0,1,1,,,,,,AH,,,3,-6.386,0.483,52,94,999,999,999,999,999,999,999,999,2017-06-09T00:00:00Z,1,2014-05-11T00:00:00Z,3,36,0,1,1,,,,3,3,3,2,2,2,3,3,1,4,4,4,3,3,4,3,2,2,AH,
24,2017-06-09T00:00:00Z,2012-07-09T00:00:00Z,4,59,1,1,"KO, AD",0,1,1,1,1,1,1,1,1,6,1,1,0,1,1,,1,1,1,3,AH,,,4,-4.934,0.474,59,95,8,1,26,75,28,3.5,63,106,2017-06-09T00:00:00Z,1,2012-07-09T00:00:00Z,4,59,0,1,10,,,,3,3,2,3,4,4,4,4,2,2,4,4,,3,4,4,2,2,AH,
25,2017-01-10T00:00:00Z,2013-06-09T00:00:00Z,4,55,0,2,"KO, AH",0,1,1,1,1,0,0,0,0,2,1,1,1,1,0,Wearingbluescarf,,,,,AH,,,4,-1.691,0.496,74,128,26,3.25,49,111,6,0.75,39,88,2018-01-10T00:00:00Z,0,2013-06-09T00:00:00Z,4,55,0,0,,,,,4,4,2,3,4,3,4,3,3,3,3,3,4,4,4,4,3,3,AH,
26,2018-01-12T00:00:00Z,2013-10-11T00:00:00Z,4,51,1,1,"KO, WM",0,1,1,1,1,1,1,1,1,6,1,1,0,1,1,Heishelpful,0,0,0,0,AH,,,3,-3.773,0.486,64,112,17,2.13,38,111,8,1,41,105,2017-01-12T00:00:00Z,1,2013-10-11T00:00:00Z,4,51,0,0,,,,,4,4,3,1,2,,4,4,3,2,4,3,4,3,4,3,4,4,AH,
27,2018-01-12T00:00:00Z,2014-09-05T00:00:00Z,3,38,0,1,"KO, AH",0,1,1,1,1,1,0,1,0,4,1,1,1,1,1,,1,0,0,1,AH,,,3,-3.456,0.485,66,120,999,999,999,999,1,0.13,34,82,2018-01-12T00:00:00Z,0,2014-09-05T00:00:00Z,3,38,1,0,,,,,4,4,3,3,3,4,4,4,2,4,2,3,3,2,4,3,2,3,AH,
28,2018-01-12T00:00:00Z,2014-11-25T00:00:00Z,3,37,0,2,"KO, AH",0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,Likessammy,,,,,AH,,,3,-6.15,0.472,53,94,11,1.38,30,101,5,0.63,38,97,2018-01-12T00:00:00Z,0,2014-11-25T00:00:00Z,3,37,0,1,10,,,,4,4,3,2,2,3,3,4,3,3,3,2,2,1,4,1,2,1,AH,
29,2018-01-12T00:00:00Z,2014-07-21T00:00:00Z,3,41,0,1,"KO, AH",0,1,1,1,0,1,1,0,0,3,1,1,0,1,0,Heistricky,1,0,0,1,AH,,,3,-4.182,0.471,62,112,32,4,57,121,35,4.38,71,120,2018-01-12T00:00:00Z,0,2014-07-21T00:00:00Z,3,41,1,1,0.58,,,,4,3,3,3,2,2,3,3,2,,4,3,3,4,4,4,3,4,AH,
30,2018-01-19T00:00:00Z,2013-04-08T00:00:00Z,4,57,0,1,"KO, AH",0,1,1,1,1,0,1,1,0,4,1,1,0,1,1,Heishelpful,1,1,1,3,AH,,,4,-3.76,0.464,64,106,36,5.48,72,122,32,4,67,115,2018-01-19T00:00:00Z,0,2013-04-08T00:00:00Z,4,57,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2018-01-19T00:00:00Z,2013-04-08T00:00:00Z,4,57,0,2,"KO, SH",0,1,1,0,0,1,1,1,1,4,1,1,1,1,0,Becauseheistricky,,,,,AH,,,4,-0.713,0.497,79,139,15,1.88,35,99,32,4,67,115,2018-01-09T00:00:00Z,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2018-01-22T00:00:00Z,2014-09-04T00:00:00Z,3,40,0,1,"KO, AH",0,1,1,1,1,0,0,1,1,4,1,1,1,1,1,Becauseheishelpful,0,0,0,0,AH,,,3,-5.902,0.468,54,103,34,4.25,59,121,7,0.88,40,105,2018-01-22T00:00:00Z,0,2014-09-04T00:00:00Z,3,40,0,1,0.666666666666667,,,,4,4,3,3,3,4,2,2,1,3,3,4,2,3,4,3,3,4,KO,
33,2018-01-22T00:00:00Z,2014-10-22T00:00:00Z,3,39,1,1,"KO, AH",0,1,1,1,1,1,0,0,0,3,1,1,1,1,0,,0,0,0,0,AH,,,3,-6.569,0.485,51,94,999,999,999,999,1,0.13,34,82,2018-01-22T00:00:00Z,1,2014-10-22T00:00:00Z,3,39,0,1,7,,,,4,4,,3,3,,,3,2,4,3,4,,,4,3,3,,KO,
34,2018-01-24T00:00:00Z,2014-02-06T00:00:00Z,3,47,1,2,"KO, AH",0,1,1,0,1,1,0,1,0,3,1,1,0,1,1,,,,,,AH,,,3,-4.468,0.465,61,112,17,2.13,38,111,999,999,999,999,2018-01-24T00:00:00Z,1,2014-02-06T00:00:00Z,3,47,0,1,6,,,,2,4,,1,2,1,3,4,1,3,,4,4,2,4,4,,3,KO,
35,2018-01-24T00:00:00Z,2014-01-02T00:00:00Z,4,48,0,2,"KO, AH",0,1,1,1,0,1,1,1,1,5,1,1,0,1,1,BecauseILikeHer,,,,,AH,,,4,-3.669,0.472,65,117,12,1.5,31,87,16,2,50,106,2018-01-24T00:00:00Z,0,2014-01-02T00:00:00Z,4,48,0,1,1.5,,,,4,4,3,1,2,3,4,4,1,3,4,3,3,4,4,4,4,4,KO,
36,2018-01-26T00:00:00Z,2013-10-05T00:00:00Z,4,51,1,1,"KO, AH",0,1,1,1,1,1,0,1,0,4,1,1,0,1,0,Becausehe'srude,1,0,0,1,KO,AH,,4,-3.12,0.48,67,117,13,1.63,32,87,37,4.63,73,115,2018-01-26T00:00:00Z,1,2013-10-05T00:00:00Z,4,51,0,2,6,2,,,4,4,3,1,4,3,3,4,,4,4,3,4,3,4,3,3,2,KO,AH
37,2018-01-26T00:00:00Z,2013-07-12T00:00:00Z,4,54,0,1,"KO, AH",0,0,1,1,1,1,1,1,1,6,1,1,0,1,1,Becausehe'shelpful,0,0,1,1,KO,AH,,4,-3.208,0.466,67,117,18,2.25,39,111,38,5.39,80,115,2018-01-26T00:00:00Z,0,2013-07-12T00:00:00Z,4,54,0,1,1.5,,,,4,4,4,1,4,4,4,4,2,2,4,4,3,3,4,4,4,3,AH,
39,2018-01-29T00:00:00Z,2013-10-24T00:00:00Z,4,51,1,2,"KO, AH",0,1,1,0,1,0,1,1,0,3,1,1,0,1,1,,,,,,AH,KO,,4,-2.885,0.477,68,117,13,1.63,32,87,999,999,999,999,2018-01-28T00:00:00Z,1,2013-10-24T00:00:00Z,4,51,0,0,,,,,,4,3,1,3,3,4,4,3,4,3,4,3,3,4,4,4,3,AH,
40,2018-01-31T00:00:00Z,2013-08-15T00:00:00Z,4,53,0,2,"KO, AH",0,1,1,1,1,0,1,1,0,4,1,1,0,1,1,,,,,,AH,KO,,4,-0.763,0.486,79,139,16,2,36,99,1,0.13,34,70,2018-01-31T00:00:00Z,0,2013-08-15T00:00:00Z,4,53,0,1,8,,,,4,4,3,1,2,3,4,3,3,1,4,4,4,3,4,4,2,3,AH,
41,2018-02-02T00:00:00Z,2014-05-05T00:00:00Z,3,44,0,1,"KO, AH",0,1,1,1,1,0,0,1,1,4,1,1,0,1,1,,1,1,1,3,AH,KO,,3,999,999,999,999,999,999,999,999,999,999,999,999,2018-02-02T00:00:00Z,0,2014-05-05T00:00:00Z,3,44,0,1,0.5,,,,4,4,3,1,3,3,4,4,3,1,4,3,4,3,4,4,3,3,AH,
42,2018-02-02T00:00:00Z,2014-09-26T00:00:00Z,3,40,1,1,"KO, SH",0,1,1,0,1,0,1,1,0,3,1,1,0,1,1,,0,1,1,2,AH,KO,,3,-1.853,0.488,73,129,999,999,999,999,3,0.38,36,90,2018-02-02T00:00:00Z,1,2014-09-26T00:00:00Z,3,40,0,1,0.75,,,,3,2,3,3,4,3,3,3,1,4,4,3,4,2,4,4,3,3,AH,
43,2018-02-05T00:00:00Z,2014-06-16T00:00:00Z,3,43,1,1,"KO, AH",0,1,1,1,0,1,1,1,0,4,1,1,0,1,1,,1,0,0,1,AH,KO,,3,-4.95,0.479,59,103,13,1.63,32,101,7,0.88,40,105,2018-02-05T00:00:00Z,1,2014-06-16T00:00:00Z,3,43,0,2,10,12,,,4,4,3,3,3,4,4,2,2,4,3,3,3,2,4,4,3,3,AH,
44,2018-02-05T00:00:00Z,2014-07-11T00:00:00Z,3,42,1,2,"KO, AH",0,1,1,1,1,0,0,1,0,3,1,1,0,1,1,,,,,,AH,KO,,3,-4.863,0.475,59,11,17,2.13,38,111,26,3.25,61,112,2018-02-05T00:00:00Z,1,2014-07-11T00:00:00Z,3,42,0,0,,,,,4,4,3,2,3,3,4,4,4,4,4,4,4,3,4,4,3,3,AH,
45,2018-02-09T00:00:00Z,2013-09-18T00:00:00Z,4,52,0,1,"KO, AH",0,1,1,1,1,0,0,1,1,4,1,1,0,1,1,Becauseheishelpful,1,1,1,3,AH,KO,,4,-2.936,0.478,68,117,36,5.24,69,112,31,3.88,66,106,2018-02-09T00:00:00Z,0,2013-09-18T00:00:00Z,4,52,0,1,6,,,,4,4,3,2,1,3,4,4,2,4,4,3,4,3,4,4,1,2,AH,
46,2018-02-12T00:00:00Z,2014-09-05T00:00:00Z,3,41,0,2,"KO, AH",0,0,0,0,0,1,1,0,0,2,0,1,1,1,0,,,,,,AH,KO,,3,-6.116,0.478,53,94,999,999,999,999,2,0.25,35,90,2018-02-12T00:00:00Z,0,2014-09-05T00:00:00Z,3,41,0,2,11,8,,,4,4,3,3,2,3,4,3,1,3,2,3,3,2,4,4,2,2,AH,
47,2018-02-12T00:00:00Z,2014-04-01T00:00:00Z,3,46,0,1,"KO, AH",0,1,1,0,1,1,0,1,0,3,1,1,1,1,1,Likedgreen,1,0,1,2,AH,,,3,-6.972,0.481,49,94,2,0.25,19,71,7,0.88,40,105,2018-02-12T00:00:00Z,1,2014-04-01T00:00:00Z,3,46,0,2,13,10,,,3,2,2,1,2,1,4,4,3,4,2,3,3,3,4,4,,3,AH,
48,2018-02-14T00:00:00Z,2014-09-28T00:00:00Z,3,40,1,1,"KO, AH",0,1,1,0,0,0,1,0,1,2,1,1,1,1,1,,1,1,0,2,KO,AH,,3,-5.78,0.469,55,103,10,1.25,29,91,25,3.13,60,112,2018-02-14T00:00:00Z,1,2014-09-28T00:00:00Z,3,40,0,1,0.75,,,,4,4,3,3,2,2,3,3,2,4,3,3,3,3,4,4,3,,AH,
49,2018-02-16T00:00:00Z,2014-08-08T00:00:00Z,3,42,0,2,"KO, AH",0,1,1,1,0,1,1,1,1,5,1,1,0,1,1,,,,,,KO,AH,,3,-4.773,0.456,59,112,7,0.88,25,81,3,0.38,36,90,2018-02-16T00:00:00Z,0,2014-08-08T00:00:00Z,3,42,0,2,6,24,,,4,4,3,2,2,3,3,4,2,3,2,3,3,2,4,3,3,3,AH,
50,2018-02-16T00:00:00Z,2014-08-21T00:00:00Z,3,41,1,2,"AH, SH",0,0,1,0,1,1,0,1,0,3,1,1,1,1,1,,,,,,KO,AH,,3,-3.631,0.49,65,120,8,1,26,91,2,0.25,35,90,2018-02-16T00:00:00Z,1,2014-08-21T00:00:00Z,3,41,0,1,0.4,,,,4,4,3,3,2,4,4,,1,2,,4,4,2,4,4,,,AH,
51,2018-02-21T00:00:00Z,2014-09-30T00:00:00Z,3,40,0,1,"KO, AH",0,1,1,0,0,1,1,1,0,3,1,1,1,1,1,,0,0,0,0,KO,AH,,3,-4.724,0.469,60,112,7,0.88,25,81,5,0.63,38,97,2018-02-21T00:00:00Z,0,2014-09-30T00:00:00Z,3,40,0,0,,,,,2,4,1,2,1,3,3,1,1,4,2,3,3,2,3,3,2,3,AH,
52,2018-02-21T00:00:00Z,2013-09-01T00:00:00Z,4,53,0,2,"KO, WM",0,1,1,0,0,1,1,1,1,4,1,1,0,1,1,,,,,,KO,WM,,4,-4.191,0.462,62,106,17,2.13,38,99,999,999,999,999,2018-02-21T00:00:00Z,0,2013-09-01T00:00:00Z,4,53,1,1,1.5,,,,4,4,4,3,4,4,4,3,2,3,4,3,3,4,4,4,3,4,AH,
