subid,date,birthdate,agegroup.x,exactage.x,gender,condition,exp,counterbalance,benny_tricky,sammy_helpful,tt1,tt2,tt3,tt4,tt5,tt6,total_trust,benny_fq,sammy_fq,benny_good,sammy_good,play_again,why_playagain,training1,training2,training3,trainingtotal,coder1.x,coder2.x,notes,age_group,ppvt_theta,ppvt_se,ppvt_un_corr_ss,ppvt_age_corr,flanker_rs,flanker_computed_score,flanker_un_corr_ss,flanker_age_corr_ss,dccs_rs,dccs_computed_score,dccs_uncorr_ss,dccs_age_corrected,date_csus,childgender,child_dob,agegroup.y,exactage.y,parentgender,numsibs,ageofsib1,ageofsib2,ageofsib3,ageofsib4,csus1,csus2,csus3,csus4,csus5,csus6,csus7,csus8,csus9,csus10,csus11,csus12,csus13,csus14,csus15,csus16,csus17,csus18,coder1.y,coder2.y
53,2018-02-21T00:00:00Z,2014-12-23T00:00:00Z,3,37,0,2,"KO, AH",0,1,1,0,1,1,0,1,0,3,1,1,1,1,1,,,,,,KO,AH,,3,-6.501,0.483,51,94,3,0.38,20,71,999,999,999,999,2018-02-21T00:00:00Z,0,2014-12-23T00:00:00Z,3,37,0,0,,,,,3,3,4,3,4,3,3,4,3,4,3,3,4,4,4,4,3,3,AH,
54,2018-02-23T00:00:00Z,2015-02-05T00:00:00Z,3,36,0,2,"KO, AH",1,1,1,1,1,1,1,1,0,5,0,1,1,1,1,,,,,,KO,AH,,4,-4.62,0.475,60,106,4,0.5,21,52,1,0.13,34,70,2018-02-23T00:00:00Z,0,2015-02-05T00:00:00Z,3,36,1,2,9,7,,,4,1,3,2,4,1,3,4,2,,4,3,3,2,4,,2,4,AH,
55,2018-02-23T00:00:00Z,2013-11-27T00:00:00Z,4,50,0,1,KO. AH,1,1,1,1,1,1,1,1,1,6,1,1,0,1,1,,0,1,1,2,KO,AH,,4,-3.789,0.465,64,106,18,2.25,39,111,8,1,41,97,2018-02-23T00:00:00Z,0,2013-11-27T00:00:00Z,4,50,0,0,,,,,4,4,4,2,4,3,4,4,,,4,3,4,2,4,4,4,4,AH,
56,2018-02-23T00:00:00Z,2014-12-26T00:00:00Z,3,37,0,2,"KO, SH",1,0,1,1,0,0,1,0,1,3,1,1,0,1,1,,,,,,KO,AH,,3,-3.826,0.472,64,112,15,1.88,35,111,3,0.38,36,90,2018-02-23T00:00:00Z,0,2014-12-26T00:00:00Z,3,37,0,1,6,,,,4,3,4,2,2,1,4,3,2,3,3,2,4,3,4,3,2,3,AH,
57,2018-02-26T00:00:00Z,2014-02-08T00:00:00Z,4,48,0,2,"KO, AH",1,1,1,1,1,1,1,1,0,5,1,1,0,1,1,heishelpful,,,,,KO,AH,,4,-2.965,0.467,68,117,12,1.5,31,97,3,0.38,36,79,2018-02-26T00:00:00Z,0,2014-02-08T00:00:00Z,4,48,0,1,0.9,,,,4,4,3,2,,3,3,4,1,4,3,3,,2,4,,2,,AH,
58,2018-03-02T00:00:00Z,2014-06-14T00:00:00Z,3,44,0,1,"KO, AH",1,1,1,1,1,1,1,0,1,5,1,1,0,1,1,,0,0,0,0,KO,AH,,3,-6.258,0.497,52,94,16,2,36,111,16,2,50,112,2018-03-02T00:00:00Z,0,2014-06-14T00:00:00Z,3,44,0,2,8,6,,,3,4,,2,3,3,4,2,2,4,4,3,3,3,4,4,3,4,AH,
59,2018-03-02T00:00:00Z,2014-11-05T00:00:00Z,3,39,0,1,"KO, SH",1,1,1,1,0,1,1,1,0,4,1,1,1,1,1,,1,1,1,3,KO,AH,,3,-6.396,0.478,52,94,6,0.75,24,81,3,0.38,36,90,2018-03-02T00:00:00Z,0,2018-11-05T00:00:00Z,3,39,0,2,6,0.75,,,2,3,3,2,1,1,3,2,2,4,2,2,,3,4,2,3,2,AH,
60,2018-03-02T00:00:00Z,2014-08-22T00:00:00Z,3,42,1,1,"KO, SH",1,1,1,1,0,0,1,0,1,3,1,1,0,1,1,,1,1,0,2,KO,AH,Picked all yellow; one of favorite colors is yellow,3,-3.873,0.499,64,112,3,0.38,20,71,8,1,41,105,2018-03-02T00:00:00Z,1,2014-08-22T00:00:00Z,3,42,0,3,27,25,19,,3,2,3,2,2,3,2,4,,3,3,3,3,2,4,4,3,3,AH,
61,2018-03-05T00:00:00Z,2015-02-21T00:00:00Z,3,36,0,1,"KO, AH",1,1,1,1,0,1,0,1,0,3,1,0,0,1,0,,1,0,0,1,KO,AH,,3,-4.881,0.464,59,103,4,0.5,21,71,1,0.13,34,82,2018-03-05T00:00:00Z,0,2015-02-21T00:00:00Z,3,36,0,0,,,,,4,4,2,3,2,1,4,2,3,3,4,3,3,1,4,4,2,3,AH,
62,2018-03-07T00:00:00Z,2014-08-27T00:00:00Z,3,42,1,2,"KO, AH",1,0,1,1,1,0,1,1,1,5,1,1,1,1,1,BecauseILoveSammy,,,,,KO,AH,,3,-5.016,0.461,58,103,7,0.88,25,81,21,2.63,55,112,2018-03-07T00:00:00Z,1,2014-08-27T00:00:00Z,3,42,0,1,1,,,,4,4,3,3,2,3,4,3,1,3,3,3,2,3,4,4,3,3,AH,
63,2018-03-07T00:00:00Z,2014-10-09T00:00:00Z,3,40,1,1,"KO, AH",1,1,1,0,1,0,0,0,1,2,1,1,0,1,1,,1,0,1,2,KO,AH,,3,-6.391,0.499,52,94,16,2,36,111,999,999,999,999,2018-03-07T00:00:00Z,1,2014-10-09T00:00:00Z,3,40,0,0,,,,,4,3,4,2,1,2,3,,,4,,3,2,1,4,3,2,,AH,
64,2018-03-09T00:00:00Z,2015-02-14T00:00:00Z,3,36,0,2,"KO, AH",1,1,1,0,1,1,0,1,0,3,1,1,1,1,0,,,,,,KO,AH,Picked all green. Favorite color.,3,-6.233,0.486,52,94,999,999,999,999,999,999,999,999,2018-03-09T00:00:00Z,0,2015-02-14T00:00:00Z,3,36,0,4,14,11,7,,4,4,3,4,3,1,1,3,1,4,3,3,4,3,4,1,1,3,AH,
65,2018-03-12T00:00:00Z,2014-08-22T00:00:00Z,3,42,1,2,"KO, AH",1,1,1,1,1,0,1,0,1,4,1,1,0,1,1,BecauseIWanthim,,,,,KO,AH,,3,-4.359,0.478,61,112,9,1.13,27,91,19,2.38,53,112,2018-03-12T00:00:00Z,1,2018-08-22T00:00:00Z,3,42,0,0,,,,,4,4,4,1,3,4,4,1,,,4,3,4,,4,4,4,,AH,
66,2018-03-12T00:00:00Z,2014-05-02T00:00:00Z,3,46,0,1,"KO, AH",1,1,1,0,0,1,1,1,1,4,1,1,0,1,0,Becauseheopensboxesandhestricky,1,0,1,2,KO,AH,Opened second box,3,-5.291,0.467,57,103,16,2,36,111,25,3.13,60,112,2018-03-12T00:00:00Z,0,2014-05-02T00:00:00Z,3,46,0,1,10,,,,3,2,,3,3,,3,1,1,4,3,3,3,,4,3,1,3,AH,
67,2018-03-14T00:00:00Z,2015-03-02T00:00:00Z,3,36,0,2,"KO, AH",1,1,1,1,1,1,0,0,1,4,1,1,1,1,1,,,,,,KO,AH,,3,-5.793,0.469,55,103,999,999,999,999,5,0.63,38,97,2018-03-14T00:00:00Z,0,2018-03-02T00:00:00Z,3,36,0,1,1,,,,4,4,,2,2,3,4,3,1,4,3,3,3,3,4,4,3,3,AH,
68,2018-03-14T00:00:00Z,2013-03-25T00:00:00Z,4,59,0,1,"KO, AH",1,1,1,1,1,1,1,1,0,5,0,0,1,0,1,,1,1,1,3,KO,AH,,4,-3.788,0.493,64,106,17,2.13,38,99,37,4.63,73,115,2018-03-14T00:00:00Z,0,2013-03-25T00:00:00Z,4,59,0,1,6,,,,4,4,3,2,2,4,3,4,2,3,4,4,3,3,3,3,3,3,AH,
69,2018-03-14T00:00:00Z,2015-02-17T00:00:00Z,3,36,0,2,"KO, AH",1,1,1,1,0,0,1,0,1,3,1,0,1,1,0,,,,,,KO,AH,Picked all yellow,3,-11.037,0.509,29,60,4,0.5,21,71,3,0.38,36,90,2018-03-14T00:00:00Z,0,2015-02-17T00:00:00Z,3,36,0,1,9,,,,2,2,1,1,4,3,3,2,1,4,2,3,2,2,3,2,1,1,AH,
70,2018-03-16T00:00:00Z,2013-03-15T00:00:00Z,4,60,0,1,"KO, AH",1,1,0,0,0,0,1,1,1,3,1,1,0,1,1,,1,0,1,2,KO,AH,,5,-3.742,0.482,64,109,37,4.63,63,99,5,0.63,38,78,2018-03-16T00:00:00Z,0,2013-03-15T00:00:00Z,4,60,0,1,2,,,,4,4,2,3,2,,3,,2,1,3,3,3,4,4,,3,,AH,
72,2018-03-19T00:00:00Z,2015-01-15T00:00:00Z,3,38,1,1,"KO, WM",1,1,1,0,1,1,0,1,0,3,1,0,0,1,0,,1,0,0,1,AH,,,3,-5.851,0.469,54,103,999,999,999,999,999,999,999,999,2018-03-19T00:00:00Z,1,2015-01-15T00:00:00Z,3,38,0,1,4,,,,4,4,3,1,3,3,3,4,2,3,3,3,3,3,3,3,3,3,AH,
73,2018-03-19T00:00:00Z,2013-06-14T00:00:00Z,4,57,1,1,"KO, AH",1,1,1,1,1,1,1,1,1,6,1,1,0,1,1,BecauseHeIsHelpful,1,0,0,1,AH,,,4,-4.518,0.459,61,106,15,1.88,35,99,27,3.38,62,106,2018-03-19T00:00:00Z,1,2013-06-14T00:00:00Z,4,57,0,1,3,,,,4,4,4,1,4,3,4,4,3,2,3,3,3,3,3,4,4,4,AH,
74,2018-04-09T00:00:00Z,2014-08-21T00:00:00Z,3,43,1,1,"KO,AH",1,1,1,1,1,0,0,0,0,4,1,1,0,1,0,BecauseYouKnowHesTricky,0,1,0,1,AH,,,3,-4.916,0.493,59,103,8,1,26,91,2,0.25,35,90,2018-04-09T00:00:00Z,1,2014-08-21T00:00:00Z,3,43,0,1,1,,,,3,3,,3,3,2,2,,2,1,3,4,2,2,4,3,2,2,AH,
75,2018-04-09T00:00:00Z,2015-01-29T00:00:00Z,3,38,1,2,"KO, AH",1,1,1,1,1,0,0,0,0,2,1,1,0,1,1,,,,,,AH,,,3,-5.566,0.48,56,103,8,1,26,91,7,0.88,40,105,2018-04-09T00:00:00Z,1,2015-01-29T00:00:00Z,3,38,0,1,5,,,,4,4,3,2,2,2,3,3,2,3,3,3,3,2,4,3,1,1,AH,
76,2018-04-16T00:00:00Z,2013-07-30T00:00:00Z,4,56,1,2,"AH, AD",1,1,1,1,1,1,1,0,0,4,1,1,0,1,1,he'snice,,,,,KO,,,4,-6.206,0.492,53,84,11,1.38,30,87,3,0.38,36,79,2018-04-16T00:00:00Z,1,2018-07-30T00:00:00Z,4,56,0,1,6,,,,4,4,2,4,4,1,4,4,2,4,3,4,4,3,4,3,3,4,AH,
77,2018-04-16T00:00:00Z,2014-02-12T00:00:00Z,4,50,0,2,"KO, AH",1,1,1,1,1,1,1,0,1,5,1,1,0,1,1,becausehe'shelpful,,,,,KO,,,4,-4.66,0.457,60,106,39,5,67,111,8,1,41,97,2018-04-16T00:00:00Z,0,2018-02-12T00:00:00Z,4,50,0,1,6,,,,4,4,4,2,2,3,3,3,,4,4,3,4,3,4,3,3,3,AH,
78,2018-04-18T00:00:00Z,2015-03-28T00:00:00Z,3,36,0,1,"KO, AH",1,0,1,0,1,0,1,0,1,3,1,1,0,0,1,,0,0,0,0,AH,KO,,3,-5.06,0.455,58,103,999,999,999,999,8,1,41,105,2018-04-18T00:00:00Z,0,2015-03-25T00:00:00Z,3,36,0,0,,,9999,,4,4,3,2,1,,4,3,1,3,4,2,3,,4,4,2,,KO,AH
79,2018-04-23T00:00:00Z,2013-07-14T00:00:00Z,4,57,0,1,"KO,AA",1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,,0,0,0,0,AH,AA,,4,-4.338,0.472,61,106,13,1.63,32,87,4,0.5,37,88,2018-04-23T00:00:00Z,0,2013-07-14T00:00:00Z,4,57,0,0,,,,,3,4,3,3,4,3,4,3,3,4,4,3,3,2,3,4,3,4,AH,AA
80,2018-04-26T00:00:00Z,2013-01-08T00:00:00Z,4,55,0,2,"KO, LD",1,1,1,1,1,0,0,0,0,2,1,1,0,1,0,,,,,,AH,,,4,-3.112,0.469,67,117,38,5.47,71,122,7,0.88,40,97,2018-04-26T00:00:00Z,0,2013-01-08T00:00:00Z,4,55,2,3,29,27,25,,3,2,4,2,2,2,3,4,4,1,3,3,4,3,3,3,3,3,AH,
81,2018-04-27T00:00:00Z,2013-12-12T00:00:00Z,4,52,0,1,"KO, MW",1,1,1,1,0,1,1,1,1,5,1,1,0,1,1,BecauseILoveHim,1,0,1,2,AH,,,4,-4.009,0.468,63,106,38,4.75,64,111,7,0.88,40,97,2018-04-27T00:00:00Z,1,2013-12-12T00:00:00Z,4,52,0,1,1,,,,2,4,2,1,1,3,4,1,,4,2,1,4,2,3,4,3,3,AH,
82,2018-04-27T00:00:00Z,2015-03-30T00:00:00Z,3,36,0,2,"KO, AA",1,1,1,1,0,0,1,0,1,3,1,1,0,1,1,,,,,,AH,,,3,-5.975,0.474,54,103,6,0.75,24,81,5,0.63,38,97,2018-04-27T00:00:00Z,0,2015-03-30T00:00:00Z,3,36,0,1,6,,,,4,4,4,2,1,3,3,3,1,4,3,3,,2,4,4,1,2,AH,
83,2018-05-02T00:00:00Z,2014-01-01T00:00:00Z,4,52,1,2,"KO, AH",1,1,1,1,1,1,1,1,1,6,1,1,0,1,1,,,,,,AH,,,4,-3.594,0.474,65,117,39,4.88,65,111,35,6.35,88,124,2018-05-02T00:00:00Z,1,2014-01-01T00:00:00Z,4,52,0,3,14,11,2,,3,4,3,2,3,2,4,3,2,2,4,4,4,3,4,4,4,4,AH,
84,2018-05-02T00:00:00Z,2015-04-08T00:00:00Z,3,36,1,2,"KO, MW",1,1,1,0,1,1,0,1,0,3,1,1,1,1,0,,,,,,AH,,Favorite color is green,3,-7.206,0.477,48,86,11,1.38,30,101,999,999,999,999,2018-05-02T00:00:00Z,1,2015-04-08T00:00:00Z,3,36,0,1,0.5,,,,4,2,1,2,2,3,3,4,1,3,3,4,4,3,4,4,1,2,AH,
85,2018-05-06T00:00:00Z,2015-01-01T00:00:00Z,3,40,1,1,"KO, AA",1,1,1,1,1,1,0,0,1,4,1,1,1,1,1,,0,1,0,1,AH,,,3,-4.965,0.466,58,103,11,1.38,30,101,2,0.25,35,90,2018-05-06T00:00:00Z,1,2015-01-01T00:00:00Z,3,40,0,0,,,,,3,4,2,3,2,3,3,3,1,2,2,4,3,2,4,2,2,2,AH,
86,2018-05-06T00:00:00Z,2014-02-07T00:00:00Z,4,50,0,2,"KO, AA",1,1,1,1,1,1,1,1,1,6,1,1,0,1,1,,,,,,AH,,,4,-4.228,0.488,62,106,16,2,36,99,5,0.63,38,88,2018-05-06T00:00:00Z,0,2014-02-07T00:00:00Z,4,50,0,1,6,,,,4,3,3,3,1,3,4,3,,2,3,3,3,,4,4,2,3,AH,
87,2018-05-07T00:00:00Z,2013-11-28T00:00:00Z,4,53,1,1,"KO, AH",1,1,1,1,0,0,1,0,1,3,1,1,0,1,1,,0,1,0,1,AH,,,4,-4.357,0.483,61,106,16,2,36,99,7,0.88,40,97,2018-05-07T00:00:00Z,1,2013-11-28T00:00:00Z,4,53,1,1,2,,,,4,4,3,2,2,4,4,4,2,3,4,4,4,3,2,4,4,4,AH,
88,2018-05-07T00:00:00Z,2013-06-11T00:00:00Z,4,58,0,1,AH. AD,1,1,1,1,1,1,1,1,1,6,1,1,0,1,1,Becausehe'shelpful,1,1,1,3,KO,,,4,-3.453,0.466,66,117,32,4,57,111,40,5.59,81,115,2018-05-07T00:00:00Z,0,2013-06-11T00:00:00Z,4,58,0,1,0.666666666666667,,,,4,4,4,3,2,3,3,3,4,3,4,4,3,4,4,4,4,4,KO,AH
89,2018-05-07T00:00:00Z,2013-06-28T00:00:00Z,4,58,0,2,"KO, MW",1,1,1,1,1,1,1,1,1,6,1,1,0,1,1,,,,,,KO,,,4,-2.725,0.471,69,117,39,4.88,65,111,39,4.88,75,115,2018-05-07T00:00:00Z,0,2013-06-28T00:00:00Z,4,58,0,1,7,,,,4,3,4,1,4,4,4,3,1,2,4,3,3,4,4,4,3,4,KO,AH
90,2018-05-12T00:00:00Z,2014-12-02T00:00:00Z,3,41,1,1,"KO, AH",1,1,1,1,1,0,0,0,0,2,1,1,0,1,0,,,,,,KO,,,3,-6.208,0.468,53,94,12,1.5,31,101,8,1,41,105,2018-05-12T00:00:00Z,1,2014-12-02T00:00:00Z,3,41,0,1,6,,,,3,4,4,1,2,2,3,3,2,3,3,4,3,3,4,4,3,3,KO,AH
91,2018-05-12T00:00:00Z,2013-08-07T00:00:00Z,4,57,1,2,"KO, AA",1,1,1,0,1,1,0,1,0,3,1,1,1,1,0,Becauseheistricky,,,,,KO,AH,Favorite color is green,4,-3.668,0.477,65,117,17,2.13,38,99,5,0.63,38,88,2018-05-12T00:00:00Z,1,2013-08-07T00:00:00Z,4,57,0,1,3,,,,4,4,4,2,4,4,4,4,3,1,4,4,4,4,4,4,4,4,KO,AH
92,2018-05-12T00:00:00Z,2014-01-30T00:00:00Z,4,51,0,1,"KO, MW",1,1,1,1,1,1,1,1,1,6,1,1,0,1,1,,0,0,1,1,KO,AH,,4,-3.808,0.476,64,106,37,4.63,63,111,38,4.75,74,115,2018-05-12T00:00:00Z,0,2014-01-30T00:00:00Z,4,51,0,1,1,,,,4,4,4,2,3,4,4,4,1,3,4,3,,3,3,3,,,KO,AH
93,2018-05-14T00:00:00Z,2018-05-14T00:00:00Z,3,37,0,1,"KO, AH",1,1,1,1,0,0,1,0,1,3,1,1,0,1,1,BecauseIWantto.,1,0,1,2,KO,AH,,3,-5.467,0.458,56,103,3,0.38,20,71,7,0.88,40,105,2018-05-14T00:00:00Z,0,2015-04-10T00:00:00Z,3,37,0,0,,,,,4,4,2,3,,4,4,3,1,1,3,4,2,3,4,3,2,3,AH,
94,2018-05-15T00:00:00Z,2013-07-02T00:00:00Z,4,58,0,2,"KO, MW",1,0,1,1,0,1,0,0,0,2,1,1,1,1,1,,,,,,AH,,,4,-1.953,0.48,73,128,39,6.71,84,122,7,0.88,40,97,2018-05-15T00:00:00Z,0,2013-07-02T00:00:00Z,4,58,0,1,6,,,,4,4,4,3,4,3,4,3,3,3,4,4,4,3,4,4,3,3,AH,
95,2018-05-15T00:00:00Z,2013-05-09T00:00:00Z,4,60,1,1,"KO, LD",1,1,1,1,1,0,1,0,1,4,1,1,0,1,0,,1,0,1,2,AH,,,5,-0.234,0.483,81,134,999,999,999,999,999,999,999,999,2018-05-15T00:00:00Z,1,2013-05-09T00:00:00Z,4,60,1,0,,,,,4,4,4,3,2,3,4,4,1,2,4,3,4,2,4,4,2,3,AH,
96,2018-05-18T00:00:00Z,2015-03-03T00:00:00Z,3,38,1,1,"KO, AA",1,1,1,1,0,0,1,0,1,4,1,1,0,1,1,,0,1,1,2,AH,AA,,3,-4.533,0.461,61,112,15,1.88,35,111,21,2.63,55,112,2018-05-18T00:00:00Z,1,2015-03-03T00:00:00Z,3,38,0,1,0.4,,,,4,4,3,2,1,3,4,3,2,2,3,3,4,2,4,4,3,2,AH,AA
97,2018-05-21T00:00:00Z,2013-04-29T00:00:00Z,4,60,1,2,"KO, MW",1,0,0,1,1,1,1,1,1,6,1,1,0,1,1,,,,,,AH,LD,,5,-1.331,0.481,76,122,37,4.63,63,99,30,3.75,65,98,2018-05-21T00:00:00Z,1,2013-04-29T00:00:00Z,4,60,0,3,10,8,6,,4,4,3,2,3,3,3,3,2,2,3,3,3,3,2,3,3,3,AH,LD
98,2018-05-24T00:00:00Z,2014-04-08T00:00:00Z,4,49,0,1,"KO, AA",1,1,1,1,0,0,1,0,1,3,1,1,0,1,1,BecauseBennyisTricky,1,1,0,2,KO,,,4,-4.916,0.458,59,95,12,1.5,31,87,37,4.63,73,115,2018-05-24T00:00:00Z,0,2014-04-08T00:00:00Z,4,49,0,2,6,8,,,4,3,1,1,1,3,4,3,1,,4,3,3,2,4,4,,3,AH,
99,2018-05-30T00:00:00Z,2013-07-30T00:00:00Z,4,58,1,1,"KO, AH",1,1,1,1,1,1,1,1,1,6,1,1,0,1,1,BecauseILikeHim,1,1,1,3,AH,,,4,-4.08,0.486,63,106,18,2.25,39,111,999,999,999,999,2018-05-30T00:00:00Z,1,2013-07-30T00:00:00Z,4,58,0,0,,,,,4,4,4,3,2,3,3,4,2,2,3,3,3,4,4,3,3,3,AH,
100,2018-05-31T00:00:00Z,2014-05-25T00:00:00Z,4,48,0,2,"KO, MW",1,1,1,0,0,1,1,1,0,3,1,1,1,1,0,,,,,,KO,,,4,-4.68,0.495,60,106,17,2.13,38,99,29,3.63,64,106,2018-05-31T00:00:00Z,0,2014-05-25T00:00:00Z,4,48,0,2,14,21,,,4,3,3,2,3,3,3,2,2,3,3,3,2,2,3,2,3,2,LD,
101,2018-06-03T00:00:00Z,2014-03-25T00:00:00Z,4,50,1,2,"AH, LD",1,1,1,0,0,1,1,1,0,3,1,1,0,1,1,BecauseHeIsGood,,,,,AH,LD,Picked in pattern,4,-4.478,0.47,61,106,14,1.75,34,99,5,0.63,38,88,2018-06-03T00:00:00Z,1,2014-03-25T00:00:00Z,4,50,0,0,,,,,4,4,4,1,1,4,4,4,3,2,4,4,4,4,4,4,4,4,AH,LD
102,2018-06-04T00:00:00Z,2013-07-12T00:00:00Z,4,58,1,1,"KO, AA",1,1,1,1,1,0,0,0,1,3,1,1,0,1,1,,0,0,0,0,KO,,,4,-3.3,0.474,66,117,39,5.99,77,122,8,1,41,97,2018-06-04T00:00:00Z,1,2013-07-12T00:00:00Z,4,59,0,1,3,,,,4,4,4,3,4,4,4,3,2,3,3,1,3,2,4,4,3,3,LD,
103,2018-06-08T00:00:00Z,2013-07-23T00:00:00Z,4,58,1,2,"KO, MW",1,1,1,1,1,0,0,0,1,3,1,1,0,1,1,,,,,,KO,,,4,-3.741,0.465,64,117,37,4.63,63,111,6,0.75,39,88,2018-06-08T00:00:00Z,1,2013-07-23T00:00:00Z,4,58,0,1,1.5,,,,4,4,2,3,,3,3,2,3,3,3,3,3,2,3,2,2,3,LD,
104,2018-06-11T00:00:00Z,2013-09-04T00:00:00Z,4,57,1,1,"KO, AH",1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,,0,1,0,1,KO,,,4,-4.612,0.459,60,106,36,4.94,66,111,22,2.75,56,106,2018-06-11T00:00:00Z,1,2013-09-04T00:00:00Z,4,57,0,0,,,,,4,4,3,2,3,4,3,4,3,4,4,4,3,3,4,4,3,3,LD,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
